Adobe After Effects 6.0 Keyframe Data

	Units Per Second	15
	Source Width	854
	Source Height	480
	Source Pixel Aspect Ratio	0.999175
	Comp Pixel Aspect Ratio	0.999175

Anchor Point
	Frame	X pixels	Y pixels	Z pixels	
	220	288.522	237.675	0	
	221	284.963	238.573	0	
	222	283.463	238.503	0	
	223	280.845	238.328	0	
	224	278.558	238.616	0	
	225	277.569	238.503	0	
	226	275.907	238.525	0	
	227	275.248	238.728	0	
	228	274.177	239.534	0	
	229	272.891	240.315	0	
	230	272.019	239.937	0	
	231	268.892	238.345	0	
	232	267.104	237.159	0	
	233	262.904	234.915	0	
	234	258.181	234.796	0	
	235	256.452	235.322	0	
	236	254.919	236.503	0	
	237	254.904	236.331	0	
	238	254.605	233.376	0	
	239	253.028	228.439	0	
	240	252.16	225.835	0	
	241	250.787	222.426	0	
	242	250.172	221.832	0	
	243	249.473	222.073	0	
	244	249.273	223.162	0	
	245	249.321	223.728	0	
	246	249.671	224.363	0	
	247	249.786	224.392	0	
	248	249.829	224.784	0	
	249	250.438	225.301	0	
	250	250.961	225.507	0	
	251	251.464	225.726	0	
	252	252.174	226.301	0	
	253	252.4	226.89	0	
	254	252.454	227.078	0	
	255	252.537	227.172	0	
	256	252.541	227.206	0	
	257	252.5	227.413	0	
	258	251.799	227.544	0	
	259	251.353	227.594	0	
	260	250.81	227.504	0	
	261	250.688	227.382	0	
	262	250.242	227.489	0	
	263	249.891	227.992	0	
	264	249.919	228.22	0	
	265	249.965	228.286	0	
	266	249.876	228.043	0	
	267	249.509	227.645	0	
	268	249.606	227.524	0	
	269	249.632	227.743	0	
	270	249.636	228.515	0	
	271	249.989	228.914	0	
	272	250.744	229.905	0	
	273	251.387	231.078	0	
	274	251.63	231.497	0	
	275	251.669	231.73	0	
	276	251.503	231.746	0	
	277	251.226	231.751	0	
	278	250.983	231.815	0	
	279	250.952	231.925	0	
	280	251.313	232.684	0	
	281	251.639	233.315	0	
	282	252.695	234.558	0	
	283	253.404	235.364	0	
	284	253.535	235.462	0	
	285	253.74	234.755	0	
	286	253.622	234.078	0	
	287	252.881	233.109	0	
	288	252.361	232.756	0	
	289	252.253	232.758	0	
	290	252.047	232.932	0	
	291	251.956	233.063	0	
	292	251.688	233.578	0	
	293	251.25	234.026	0	
	294	251.068	234.114	0	
	295	250.475	234.176	0	
	296	250.077	234.187	0	
	297	249.262	234.946	0	
	298	248.223	236.78	0	
	299	247.517	237.576	0	
	300	246.574	237.976	0	
	301	246.392	237.985	0	
	302	246.583	237.779	0	
	303	246.959	237.456	0	
	304	247.115	237.239	0	
	305	246.967	236.989	0	
	306	246.677	236.999	0	
	307	245.906	237.146	0	
	308	245.224	237.153	0	
	309	244.984	236.967	0	
	310	244.502	236.418	0	
	311	244.167	235.986	0	
	312	243.431	235.103	0	
	313	243.001	234.373	0	
	314	242.927	234.043	0	
	315	242.754	233.244	0	
	316	242.622	232.639	0	
	317	242.216	231.266	0	
	318	241.855	230.008	0	
	319	241.724	229.605	0	
	320	241.613	229.185	0	
	321	241.523	229.108	0	
	322	240.994	228.899	0	
	323	240.362	228.331	0	
	324	240.391	228	0	
	325	240.598	227.464	0	
	326	240.796	227.413	0	
	327	241.086	227.361	0	
	328	240.609	227.246	0	
	329	240.269	227.19	0	
	330	239.973	227.333	0	
	331	240.111	227.714	0	
	332	240.911	228.849	0	
	333	241.708	229.811	0	
	334	241.86	230.206	0	
	335	241.797	230.758	0	
	336	241.654	230.926	0	
	337	241.265	231.013	0	
	338	240.92	230.772	0	
	339	240.847	230.676	0	
	340	240.808	230.851	0	
	341	240.81	231.06	0	
	342	240.772	231.442	0	
	343	240.637	231.446	0	
	344	240.652	231.31	0	
	345	240.888	231.228	0	
	346	241.039	231.288	0	
	347	241.176	231.477	0	
	348	241.222	231.822	0	
	349	241.278	232.005	0	
	350	241.321	232.616	0	
	351	241.659	233.069	0	
	352	242.667	233.722	0	
	353	242.89	232.833	0	
	354	242.605	231.647	0	
	355	241.724	229.6	0	
	356	241.434	229.267	0	
	357	241.321	229.892	0	
	358	241.419	231.065	0	
	359	241.938	231.506	0	
	360	243.636	232.353	0	
	361	244.468	232.664	0	
	362	245.039	232.686	0	
	363	244.246	232.222	0	
	364	243.848	232.028	0	
	365	243.417	231.961	0	
	366	243.336	232.015	0	
	367	243.219	232.463	0	
	368	243.202	233.165	0	
	369	243.225	233.485	0	
	370	243.165	233.715	0	
	371	243.035	233.675	0	
	372	242.946	233.396	0	
	373	243.141	233.477	0	
	374	243.141	233.477	0	
	375	243.583	233.927	0	
	376	244.186	234.287	0	
	377	244.707	234.1	0	
	378	244.852	233.938	0	
	379	245.09	233.816	0	
	380	245.691	233.614	0	
	381	246.009	233.513	0	
	382	246.609	233.256	0	
	383	246.778	233.115	0	
	384	246.69	233.054	0	
	385	246.514	232.987	0	
	386	246.236	232.752	0	
	387	245.997	230.857	0	
	388	246.148	230.839	0	
	389	246.437	231.577	0	
	390	247.506	232.297	0	
	391	248.059	232.373	0	
	392	249.165	232.62	0	
	393	249.223	232.712	0	
	394	248.925	232.706	0	
	395	247.017	232.074	0	
	396	245.615	231.758	0	
	397	243.144	232.282	0	
	398	242.977	234.246	0	
	399	246.882	234.786	0	
	400	250.409	233.987	0	
	401	254.584	233.351	0	
	402	264.431	233.1	0	
	403	277.366	233.081	0	
	404	285.338	232.614	0	
	405	302.644	231.011	0	
	406	311.319	230.581	0	
	407	337.141	229.029	0	
	408	345.326	228.77	0	
	409	352.93	228.407	0	
	410	366.704	226.558	0	
	411	373.049	225.047	0	
	412	384.701	223.031	0	
	413	394.075	221.667	0	
	414	400.634	220.174	0	
	415	402.43	219.53	0	
	416	403.156	219.082	0	
	417	402.964	218.986	0	
	418	401.187	219.423	0	
	419	399.94	219.456	0	
	420	396.438	219.273	0	
	421	392.655	220.513	0	
	422	387.96	223.376	0	
	423	386.934	224.083	0	
	424	386.098	224.588	0	
	425	384.552	225.559	0	
	426	384.136	226.096	0	
	427	384.754	227.944	0	
	428	386.435	229.724	0	
	429	387.244	229.882	0	
	430	387.635	229.931	0	
	431	388.224	230.4	0	
	432	388.588	230.895	0	
	433	388.268	228.968	0	
	434	387.796	226.422	0	
	435	385.693	219.527	0	
	436	383.825	211.336	0	
	437	382.676	202.479	0	
	438	382.515	202.583	0	
	439	382.392	204.184	0	
	440	382.337	208.443	0	
	441	382.747	211.683	0	
	442	384.064	221.065	0	
	443	385.343	232.323	0	
	444	384.119	243.244	0	
	445	383.426	248.31	0	
	446	383.05	252.26	0	
	447	381.981	257.296	0	
	448	380.098	259.567	0	
	449	379.56	260.134	0	
	450	379.122	259.634	0	
	451	379.153	259.425	0	
	452	378.113	257.865	0	
	453	377.446	257.642	0	
	454	377.276	257.798	0	
	455	378.389	257.991	0	
	456	379.177	258.079	0	
	457	380.813	259.767	0	
